domain	ranking_method	Spearman_r_statistic	Spearman_r_p_value	Spearman_r_CI	Kendall_tau_weighted_statistic	Kendall_tau_weighted_p_value	Kendall_tau_weighted_CI
economics	DKL	0.7558375438394954	2.86532813519755e-38	[0.6893885100767589, 0.809672670003894]	0.5858334323475937	N/A	[0.4866446711259745, 0.6701100200303659]
economics	Gemma	0.7647952707204747	1.1584677130112953e-39	[0.7003680731797184, 0.816861323251288]	0.7698453909715726	N/A	[0.7065715179581455, 0.8209069719747184]
economics	Llama	0.8208346209985473	4.749995202114403e-50	[0.7697550201890924, 0.8614692961508976]	0.7449586495456263	N/A	[0.6760950847240341, 0.8009204862848998]
economics	Mistral	0.8023587066524998	2.935417002727308e-46	[0.7467443046104332, 0.8468312245155891]	0.7408301827339141	N/A	[0.6710620271378429, 0.7975928206130278]
health	DKL	0.25032621202501704	0.0003501652255515845	[0.11559751397158032, 0.37601047050791575]	0.18661914543252497	N/A	[0.049148167775724644, 0.31715094183921433]
health	Gemma	0.6650446003420656	6.643304036260583e-27	[0.5797995413462554, 0.7358873388834262]	0.7452579936887758	N/A	[0.6764602683814483, 0.8011616321327988]
health	Llama	0.6559267251894879	5.583253121828224e-26	[0.5689619077408875, 0.7283833043106522]	0.707696771683588	N/A	[0.6309002989591844, 0.7707605929704888]
health	Mistral	0.6976595680039093	1.704085613817768e-30	[0.6188146675765821, 0.7625878363727878]	0.764918959064388	N/A	[0.7005198927508228, 0.8169604711484081]
law	DKL	0.715273905584832	1.2129759423253432e-32	[0.6400485541019252, 0.7769165300651051]	0.5312440636135867	N/A	[0.423732442332521, 0.6239949973112647]
law	Gemma	0.7220336350754675	1.6439323154672963e-33	[0.6482279572578631, 0.7823984489183862]	0.7639447540656963	N/A	[0.6993242759447158, 0.8161794704524413]
law	Llama	0.7373747408886453	1.4039021395821978e-35	[0.6668543991058531, 0.7948049742267804]	0.716950971278044	N/A	[0.64207624686701, 0.7782774476382105]
law	Mistral	0.8298990797628439	4.500950718707884e-52	[0.78109304554645, 0.8686262651497894]	0.8106749432541749	N/A	[0.7570852611880036, 0.8534283493140427]
migration	DKL	0.5223873674843384	2.127925592321761e-15	[0.4136222981370264, 0.6164517877854705]	0.39536119578324935	N/A	[0.27151108084273784, 0.5063305675345968]
migration	Gemma	0.5959960772044747	1.2772664153823362e-20	[0.49847144893385414, 0.6786237993979363]	0.6166472991489004	N/A	[0.522616667004013, 0.6958562739436076]
migration	Llama	0.5522758057586665	2.3017231625435405e-17	[0.44784853144266445, 0.6418386465139914]	0.5736851697085981	N/A	[0.47255467784978405, 0.6599036038333388]
migration	Mistral	0.5962930195680739	1.2090846247083844e-20	[0.4988175623225592, 0.6788722301317793]	0.6032577249691387	N/A	[0.5069444872746551, 0.6846936907487395]
